icao,iata,name,city,country,lat,lon,airport_type
US-12794,,Unknown Private Strip (Comment if you know the airport name),Homestead,US,25.524512,-80.524539,small_airport
US-12795,,Blue Creek Airfield,El Campo,US,29.092027,-96.060247,small_airport
US-12796,,Tolk Generating Station Heliport,Earth,US,34.18252,-102.568111,heliport
US-12797,,Karl Airport,Homestead,US,25.443603,-80.552101,closed
US-12798,,Jernsland STOLPort,Florida City,US,25.418731,-80.517758,small_airport
US-12799,,Miami-Dade South Runway,Everglades,US,25.359887,-80.553839,closed
US-1280,,Mahoney Farm Airport,Dorrance,US,38.849622,-98.668278,small_airport
US-12800,,Sunny Days Airport Park,Homestead,US,25.465941,-80.52146,closed
US-12801,,Joe’s Training Airport,Homestead,US,25.404147,-80.559225,closed
US-12802,,Penny’s Test Strip,Putin City,US,40.967473,-113.557434,closed
US-12803,,CaroMont Regional Medical Center - Belmont Heliport,Belmont,US,35.25799,-81.03064,heliport
US-12804,,Kilo Kilo Aerodrome,Wausau,US,44.896219,-89.719251,small_airport
US-12805,,Redeker Airport,Milford,US,40.652876,-87.830734,small_airport
US-12806,,West Branch Airport,Eureka,US,37.908468,-96.437487,small_airport
US-12807,,Hillside Airstrip,Susitna,US,61.466324,-150.617914,small_airport
US-12808,,Malnarick Park Airport,Houston,US,61.624944,-149.748958,small_airport
US-12809,,Burns Field,Shippman,US,39.121657,-89.937151,small_airport
US-1281,,Oldsells Heliport,Dublin,US,40.067685,-83.118001,heliport
US-12810,,North Lake Landing Airport,Lindstrom,US,45.401375,-92.85724,small_airport
US-12811,,Jims Agri-Air Airport,Sutton,US,40.590327,-97.860668,small_airport
US-12812,,Methodist Southlake Heliport,Southlake,US,32.957178,-97.147088,heliport
US-12813,,Gone Nuts Heli Base,Kerens,US,32.081855,-96.307797,heliport
US-12814,,Miramar Amphitheater Expo Helipad,Miramar,US,25.985649,-80.372103,heliport
US-12815,,The Sandalfoot Guys Airstrip / Cove Dusters Field,Boca Raton,US,26.360497,-80.269375,closed
US-12816,,Coopland Landing Strip,Homestead,US,25.522423,-80.450342,closed
US-12817,,Franks Landing Strip,Miami Gardens,US,25.961344,-80.239785,closed
US-12818,,Macarella Seaplane Base,Marathon,US,24.713518,-81.095463,seaplane_base
US-12819,,Vista View RC Model Airfield,Davie,US,26.06698,-80.343238,small_airport
US-1282,,Peavine Airport,Enterprise,US,45.724117,-117.077375,small_airport
US-12820,,Markham Airstrip,Sunset,US,26.12587,-80.348747,closed
US-12821,,AMPS RC Model - Silver Field,"Homestead, Miami",US,25.603955,-80.519988,closed
US-12822,,Venetian Causeway Seaplane base/Viking Airport,Miami,US,25.790309,-80.173116,closed
US-12823,,Dinner Key NAF / Coast Guard Air Station Miami,Dinner key,US,25.730623,-80.229549,closed
US-12824,,Alternate Mercy Hospital Heliport,Miami,US,25.738684,-80.2144,heliport
US-12825,,Avera Queen of Peace Hospital Heliport,Mitchell,US,43.714869,-98.005344,heliport
US-12826,,Miami Beach Showcase Landing Facility (CANCELED),Miami Beach,US,25.783125,-80.128441,closed
US-12827,,Paradise Field,Lakeland,US,27.979791,-82.021673,small_airport
US-12828,,Old Finds Bight Seaplane base,Sugarloaf key,US,24.646861,-81.604165,seaplane_base
US-12829,,Pigeon Key Helipad (permit needed),Pigeon Key,US,24.70405,-81.155598,heliport
US-1283,,Spangler Farm Airport,Fort Wayne,US,41.012639,-84.877694,small_airport
US-12830,,December 12 to 13 Ballon Port,Homestead,US,25.514267,-80.392606,balloonport
US-12831,,Coral Gables Field,Miami,US,25.717815,-80.266113,closed
US-12832,,Jeffreys Takeoff,Opa Locka,US,25.845239,-80.274825,closed
US-12833,,Edgefield Heliport,Sandy,US,45.323537,-122.212291,heliport
US-12834,,Dunlap Airpark,Dunlap,US,35.336578,-85.419138,small_airport
US-12835,,Gayland Airport,Fort Gay,US,38.114942,-82.586138,small_airport
US-12836,,Parts and Sparks Airport,Bunnell,US,29.466006,-81.342415,small_airport
US-12837,,Hialeah Airport / 54th Street Aviation Field,Hialeah,US,25.824307,-80.278666,closed
US-12838,,Father's Love Airport,Hastings,US,40.647423,-78.73145,closed
US-12839,,Desoto County Sheriff's Office Heliport,Hernando,US,34.807584,-89.981071,heliport
US-1284,,Twin Lakes Airport,Marysville,US,38.518522,-85.587583,small_airport
US-12840,,Soggy Bottom Farm Airport,Winchester,US,37.935267,-84.288465,small_airport
US-12841,,Buckhorn Airport,Bakersfield,US,36.559792,-92.204918,small_airport
US-12842,,Antiques Seaplane Landers,Florida Keys,US,25.194457,-80.56459,seaplane_base
US-12843,,Salty Cove STOLPort,Big Coppit Key,US,24.601392,-81.669145,closed
US-12844,,Fishermen Dock Pad,Key West,US,24.595943,-81.67548,heliport
US-12846,,Vihler Landing Strip,Naranja,US,25.519422,-80.436608,closed
US-12847,,Biscayne Park Airport,Miami,US,25.882933,-80.159597,seaplane_base
US-12848,,Redland field,Miami,US,25.546158,-80.458868,small_airport
US-12849,,Chalkes Seaplane base,Key West,US,24.55897,-81.815186,seaplane_base
US-1285,,1000 Museum Heliport,Miami,US,25.784189,-80.190046,heliport
US-12850,,Chrome Moddelers STOL Club / Pipsqueak Eagles Field,Miami,US,25.434554,-80.548024,small_airport
US-12851,,Las Mesitas Airport,Antonito,US,37.075493,-106.098578,small_airport
US-12852,,Powell Airport,Atlanta,US,40.204517,-86.055,small_airport
US-12853,,Hi-Hook Heliport,Hemlock,US,43.447931,-84.245439,heliport
US-12854,,Wheatland Memorial Heliport,Harlowton,US,46.438831,-109.809447,heliport
US-12855,,Flying M Ranch Airport,Hatton,US,47.646501,-97.283051,small_airport
US-12856,,Trusteau Ultralightport,Three Lakes,US,25.644839,-80.394301,small_airport
US-12857,,Downsers Field / Albatross Airstrip,DeLand,US,28.975468,-81.122017,small_airport
US-12858,,DHS Laredo Heliport,Laredo,US,27.416372,-99.451275,heliport
US-12859,,Bush Key Water Runway,Bush Key,US,24.625796,-82.867298,seaplane_base
US-1286,,St Francis Medical Center Heliport,Monroe,US,32.49866,-92.113999,heliport
US-12860,,Fishermen Field,Long Key,US,24.821006,-80.821953,small_airport
US-12861,,Nexa Ultra 50k,Fort Wayner,US,41.069038,-85.214782,closed
US-12862,,Jamies Field,Nanwalek,US,59.338967,-151.928161,small_airport
US-12863,,Janurary Field,Saint Lucie,US,27.110183,-80.528498,small_airport
US-12864,,Sunstate Airstrip,Miami,US,25.807385,-80.192471,closed
US-12865,,Bobcat Airport,Boise,US,43.538716,-116.199903,small_airport
US-12866,,Janurary Helicopter Landing Pad,St Lucie,US,27.115649,-80.517216,heliport
US-12867,,Virginia Key Seaplane Base,Miami,US,25.746791,-80.176635,seaplane_base
US-12868,,Miami Skyline and Watersports Water Runway,Miami,US,25.741312,-80.169168,seaplane_base
US-12869,,Lake Place Airfield,Okeechobee,US,27.331815,-81.027431,small_airport
US-1287,,Ringgold County Heliport,Mountt Ayr,US,40.719904,-94.22236,heliport
US-12870,,Andy Jackson Airpark,San Bernadino,US,34.193159,-117.323309,small_airport
US-12871,,Tavernier Key Private Helipad,Tavernier,US,25.024698,-80.493168,heliport
US-12872,,Nicks Airfield,Homestead,US,25.407442,-80.508156,small_airport
US-12873,,Alex’s Ultralight Flight Park,Fort Myers,US,26.479332,-81.680989,small_airport
US-12874,,Clearwater Key Bahito Seaplane base,Key Largo,US,25.089544,-80.524077,seaplane_base
US-12875,,Largo Park Seaplane Dock,Key Largo,US,25.117043,-80.423924,seaplane_base
US-12876,,Dolphin Ultralight Flight Park,Miami,US,25.800074,-80.348157,small_airport
US-12877,,Citrus Grove Airpark (proposed),Okeechobee,US,27.41253,-81.068287,closed
US-12878,,Lykes Mass Romor Airport,Okeechobee,US,27.392419,-81.186862,small_airport
US-12879,,Rockway Construction Heliport,Miami,US,25.744356,-80.347261,closed
US-1288,,Prudential Center Helipor,Newark,US,40.733244,-74.171947,heliport
US-12880,,Ranger STOLPort,immolakee,US,26.291298,-81.113884,small_airport
US-12881,,Bucksaw Ridge Strip,Akron,US,32.800393,-87.656677,small_airport
US-12882,,Upper Fort Hampton Strip,Elkmont,US,34.94425,-86.92312,small_airport
US-12883,,Allred,Centre,US,34.13686,-85.6224,small_airport
US-12884,,Kown,Hamilton,US,34.139497,-87.883828,small_airport
US-12885,,Hickory Ridge,White Hall,US,34.262805,-92.121539,small_airport
US-12886,,Crane Flat Lookout,,US,37.76004,-119.82018,heliport
US-12887,,Kern County Fire Department Helipad,Keene,US,35.22504,-118.56609,heliport
US-12888,,Bodad,Chilcoot,US,39.99721,-120.21685,small_airport
US-12889,,Balsdon,Grimes,US,39.04785,-121.95038,small_airport
US-1289,,Webster Lake Seaplane Base,North Webster,US,41.325122,-85.682522,seaplane_base
US-12890,,Huettner Strip,Adelanto,US,34.63649,-117.65316,small_airport
US-12891,,Hale Aviation Airstrip,Huron,US,36.101577,-120.164989,small_airport
US-12892,,South Seminole Hospital Helipad,Longwood,US,28.699916,-81.352424,heliport
US-12893,,Devil’s Garden Strip,La Belle,US,26.44416,-81.02027,small_airport
US-12894,,Ranchaero Grand Vista Strip,Brooksville,US,28.53985,-82.30471,small_airport
US-12895,,Lakeview Airstrip,Monticello,US,30.5256,-83.85825,small_airport
US-12896,,Stone Mountain,,US,33.81093,-84.11884,closed
US-12897,,Arrendale Forest Strip,Clarkesville,US,34.660155,-83.502724,small_airport
US-12898,,TKC Heliport,Helrad-Miami,US,25.788927,-80.184783,closed
